BibNumber,FirstName,LastName,Gender,Age,Country,City,Time
67,Katarzyna,Smith,F,56,Switzerland,Basel,4:01:01
68,Robert,Torres,M,43,Germany,Cologne,3:51:27
69,Benjamin,Lopez,M,61,Japan,Osaka,4:19:45
70,María,Clark,F,41,Switzerland,Basel,4:34:49
71,Charlotte,Sanchez,F,32,Israel,Jerusalem,2:59:20
72,Henry,Torres,M,22,Germany,Cologne,5:55:35
73,Megan,Robinson,F,47,China,Chengdu,4:31:10
74,Megan,Scott,F,29,Finland,Oulu,2:45:56
75,Camila,Martinez,F,44,Australia,Brisbane,5:55:03
76,Luis,Perez,M,67,Czech Republic,Brno,4:25:37
77,Santiago,Rodriguez,M,26,Russia,Kazan,5:18:25
78,Olivia,Kowalczyk,F,48,Brazil,Brasilia,2:48:59
79,Jack,Popov,M,57,Kenya,Kisumu,5:44:45
80,Arthur,Miller,M,52,India,Bangalore,2:28:37
81,Lucia,Murphy,F,35,United Arab Emirates,Dubai,2:26:06
82,Benjamin,Oliveira,M,23,United Kingdom,Glasgow,2:38:56
83,James,Perez,M,56,Portugal,Porto,4:02:27
84,James,Thompson,M,51,Finland,Tampere,5:26:27
85,Oliver,Williams,M,46,Kenya,Eldoret,2:51:05
86,Noah,Martinez,M,69,Hungary,Szeged,4:38:51
87,Lucas,Bianchi,M,42,Russia,Yekaterinburg,4:27:07
88,Luis,Lee,M,32,Argentina,Cordoba,5:38:00
89,Jakub,Miller,M,33,Ukraine,Kyiv,5:38:59
90,Harry,Harris,M,58,Portugal,Coimbra,3:00:23
91,Daniel,Harris,M,68,Romania,Constanta,5:29:37
92,Nikolai,Nowak,M,24,Hungary,Pecs,3:25:41
93,Emma,Johnson,F,53,Israel,Nazareth,2:41:52
94,Anna,Brown,F,35,Canada,Calgary,3:46:26
95,Nikolai,Melo,M,43,Canada,Calgary,4:20:34
96,Elijah,Kowalczyk,M,66,United States,San Francisco,2:54:01
97,Arthur,Sanchez,M,27,South Korea,Busan,4:45:09
98,Isabela,Santos,F,27,Brazil,Fortaleza,4:55:09
99,Giovanni,Martinez,M,26,Slovakia,Nitra,2:50:36
100,Hannah,Smith,F,50,Denmark,Odense,3:02:20
101,Santiago,Sanchez,M,28,India,Chennai,4:43:39
102,Luis,Rodriguez,M,23,Switzerland,Geneva,2:56:13
103,Maria,Brown,F,66,South Korea,Incheon,5:06:18
104,Elijah,King,M,18,Kenya,Eldoret,3:39:18
105,Robert,Torres,M,68,Portugal,Lisbon,3:51:31
106,Chiara,Nguyen,F,31,Japan,Sapporo,2:52:54
107,Olivia,Wilson,F,32,Slovakia,Zilina,3:26:28
108,George,Wiśniewski,M,63,Argentina,Mendoza,4:41:28
109,Alexander,Thompson,M,61,Brazil,Sao Paulo,3:51:11
110,Henry,Perez,M,20,Austria,Salzburg,2:59:55
111,Amelia,Silva,F,34,Switzerland,Geneva,4:38:55
112,Charlotte,Lee,F,67,United Kingdom,Manchester,4:09:53
113,Isabela,Martin,F,42,Australia,Melbourne,3:09:07
114,Robert,Gomes,M,53,Germany,Munich,4:42:43
115,Sunita,Martinez,F,46,Australia,Perth,3:13:31
116,Mateusz,Ivanov,M,35,Austria,Linz,4:41:36
117,Jakub,Rossi,M,70,Slovakia,Kosice,4:03:15
118,Henry,Sanchez,M,40,Italy,Naples,4:41:33
119,Olga,Jones,F,27,Czech Republic,Olomouc,2:08:13
120,Santiago,Rodriguez,M,70,Finland,Helsinki,3:27:14
121,Robert,Thompson,M,29,United Kingdom,London,3:34:35
122,Olivia,Clark,F,39,Turkey,Antalya,5:06:57
123,Sara,Davis,F,42,Netherlands,Utrecht,4:51:21
124,Ivan,Johnson,M,52,Czech Republic,Brno,3:50:00
125,Anna,Miller,F,26,Ukraine,Lviv,4:18:55
126,Marco,Taylor,M,56,South Korea,Busan,4:23:54
127,Kacper,Davis,M,43,Czech Republic,Brno,3:44:48
128,Luis,Moore,M,41,Brazil,Brasilia,4:02:08
129,Oleg,Petrov,M,65,Czech Republic,Ostrava,5:21:26
130,Hannah,Hernandez,F,62,United States,Boston,3:38:16
131,George,Bianchi,M,20,Finland,Tampere,3:31:52
132,Lorenzo,Nguyen,M,21,South Africa,Durban,5:42:40
133,Kacper,Santos,M,39,South Korea,Busan,3:44:21
134,Arthur,Wright,M,18,Canada,Ottawa,2:07:31
135,Giovanni,Garcia,M,54,Japan,Osaka,3:55:34
136,Evelyn,Harris,F,22,Switzerland,Bern,2:09:51
137,Carlos,Brown,M,60,Sweden,Uppsala,2:51:34
138,Sofia,White,F,58,Germany,Munich,2:43:45
139,Hugo,King,M,50,Kenya,Nairobi,2:46:33
140,Katarzyna,Harris,F,31,Russia,Yekaterinburg,4:12:58
141,Ava,Kuznetsov,F,38,Russia,Saint Petersburg,2:19:58
142,James,Nguyen,M,52,India,Mumbai,2:25:13
143,Hugo,Smirnov,M,19,Portugal,Faro,3:13:16
144,Alexander,Johnson,M,32,South Korea,Incheon,4:33:44
145,Evelyn,Harris,F,60,China,Chengdu,4:03:36
146,Arthur,Perez,M,65,Canada,Calgary,3:15:29
147,Jakub,Jones,M,21,Romania,Cluj-Napoca,2:14:52
148,Elijah,Anderson,M,31,Canada,Toronto,3:35:15
149,Daria,Taylor,F,56,India,Bangalore,3:33:41
150,Lucas,Davis,M,24,Norway,Tromso,4:26:55
151,Evelyn,Wright,F,22,France,Marseille,3:04:10
152,Ava,Clark,F,51,Canada,Montreal,3:06:11
153,Harry,Petrov,M,58,Sweden,Vasteras,2:08:16
154,Mikhail,Gomes,M,32,Sweden,Uppsala,3:29:38
155,Charlotte,Thompson,F,39,Israel,Haifa,3:10:06
156,Alexander,Robinson,M,60,United Arab Emirates,Sharjah,4:18:06
157,Michael,Jackson,M,53,Switzerland,Zurich,2:59:23
158,Laura,Thomas,F,48,Israel,Jerusalem,3:11:36
159,Megan,Sanchez,F,36,Finland,Tampere,5:37:29
160,Mateo,Scott,M,31,Portugal,Braga,2:29:55
161,Valentina,Anderson,F,50,Poland,Wroclaw,3:26:30
162,Robert,Harris,M,70,South Africa,Port Elizabeth,2:13:56
163,Alexander,Smirnov,M,44,Turkey,Bursa,5:33:25
164,Emma,Wright,F,63,Portugal,Braga,2:55:45
165,Mia,Petrov,F,37,Ukraine,Dnipro,3:49:59
166,Amelia,Jackson,F,18,Japan,Nagoya,3:28:50
167,Ivan,Williams,M,33,Israel,Haifa,3:05:49
168,Katarzyna,Garcia,F,56,United Arab Emirates,Sharjah,3:00:18
169,Pedro,Young,M,20,Mexico,Mexico City,5:50:07
170,Sofia,Nowak,F,36,Norway,Bergen,3:24:09
171,Lorenzo,Allen,M,26,Ethiopia,Dire Dawa,2:40:55
172,Michael,Brown,M,53,United States,Boston,5:14:42
173,Robert,Garcia,M,57,Hungary,Szeged,4:13:55
174,Oliver,Lewis,M,64,Mexico,Mexico City,4:29:45
175,Amelia,Oliveira,F,41,Portugal,Coimbra,2:54:48
176,Evelyn,Gonzalez,F,49,Australia,Melbourne,2:33:00
177,Nikolai,Popov,M,20,Japan,Osaka,4:57:03
178,Hannah,Wilson,F,51,China,Guangzhou,2:13:31
179,Zuzanna,Young,F,30,United Arab Emirates,Abu Dhabi,4:47:53
180,Olga,Jones,F,20,India,Chennai,5:46:24
181,Sara,Hernandez,F,33,Netherlands,Amsterdam,2:52:09
182,Maria,Popov,F,35,Poland,Warsaw,3:08:03
183,María,Garcia,F,55,Russia,Saint Petersburg,4:34:04
184,Harry,Miller,M,56,Romania,Timisoara,3:26:08
185,Valentina,Martinez,F,43,Israel,Haifa,2:24:38
186,Jack,Lopez,M,34,India,Chennai,5:01:27
187,Sara,Ramirez,F,24,Netherlands,Amsterdam,3:10:53
188,Evelyn,Clark,F,35,Japan,Tokyo,4:28:29
189,Abigail,Gomes,F,26,Mexico,Cancun,2:36:26
190,David,Ivanov,M,27,Romania,Bucharest,2:51:45
191,Alexander,Johnson,M,66,Singapore,Singapore,5:08:18
192,Katarzyna,Robinson,F,58,Norway,Trondheim,3:12:29
193,John,Young,M,54,Italy,Milan,3:45:17
194,Alexander,Murphy,M,44,Singapore,Singapore,5:04:15
195,Hannah,Allen,F,59,Romania,Constanta,5:46:43
196,Elijah,Kaczmarek,M,32,Portugal,Coimbra,3:00:33
197,Ava,Rodriguez,F,68,United Arab Emirates,Abu Dhabi,3:19:00
198,Abigail,Nowak,F,64,Austria,Vienna,4:41:59
199,Chiara,Jones,F,19,Turkey,Bursa,2:51:34
200,Daniel,Perez,M,56,Australia,Adelaide,5:05:57
201,Charlotte,White,F,69,Poland,Poznan,5:08:47
202,Sofia,Martinez,F,23,Argentina,Mendoza,5:24:13
203,Piotr,Young,M,28,Japan,Kyoto,3:58:49
204,Alexander,Sanchez,M,55,Turkey,Antalya,5:55:37
205,Zuzanna,Lewis,F,25,United Kingdom,Birmingham,2:23:43
206,Charlotte,Gonzalez,F,45,Portugal,Coimbra,5:58:40
207,Katarzyna,Jones,F,33,Mexico,Guadalajara,2:51:46
208,Michael,Ferrari,M,56,Hungary,Szeged,2:26:22
209,Henry,Gonzalez,M,66,Norway,Stavanger,5:04:01
210,Mia,Clark,F,54,Netherlands,Amsterdam,4:54:41
211,Santiago,Melo,M,66,Mexico,Monterrey,3:34:31
212,Mikhail,Moore,M,45,Australia,Sydney,3:34:08
213,Henry,Miller,M,18,Hungary,Pecs,3:44:31
214,Lucas,Kaczmarek,M,21,Italy,Bologna,3:00:06
215,Olivia,Kaczmarek,F,21,Netherlands,Utrecht,3:11:07
216,Chiara,Rodriguez,F,36,Turkey,Antalya,4:26:46
217,Mateo,Scott,M,61,Turkey,Ankara,3:31:36
218,Hannah,White,F,67,Switzerland,Zurich,3:33:38
219,Michael,Taylor,M,67,Sweden,Uppsala,2:48:25
220,Ava,Martin,F,36,Switzerland,Lausanne,3:50:48
221,Liam,Kowalczyk,M,48,United Arab Emirates,Sharjah,3:02:22
222,Anna,Wilson,F,19,Canada,Ottawa,4:23:10
223,Carlos,Gonzalez,M,42,Ukraine,Kyiv,3:44:14
224,Noah,Scott,M,33,United Arab Emirates,Dubai,3:45:40
225,Anna,Harris,F,56,Japan,Kyoto,4:49:21
226,Chiara,Williams,F,46,Canada,Toronto,4:41:58
227,Ingrid,Lopez,F,20,Ukraine,Kyiv,2:41:13
228,Mia,Melo,F,50,China,Chengdu,3:48:01
229,Ingrid,Novak,F,32,Turkey,Bursa,3:19:50
230,Abigail,Kowalski,F,40,Spain,Seville,4:10:17
231,Michael,Moore,M,61,Argentina,La Plata,5:25:08
232,Pedro,Costa,M,41,China,Shenzhen,4:48:49
233,Isabella,Martin,F,28,United Arab Emirates,Dubai,5:47:33
234,Luis,Kowalczyk,M,27,France,Marseille,2:47:49
235,Sara,Ferrari,F,60,Argentina,Buenos Aires,3:53:20
236,Anna,Thompson,F,38,Norway,Trondheim,2:18:57
237,Piotr,Jones,M,30,United States,Chicago,5:22:44
238,Nikolai,White,M,44,Japan,Sapporo,3:23:33
239,Emily,Ramirez,F,69,Spain,Madrid,3:31:43
240,Ava,Wiśniewski,F,64,South Africa,Johannesburg,5:52:06
241,Isabella,Thomas,F,67,Hungary,Pecs,2:59:59
242,María,Gomes,F,57,South Africa,Pretoria,4:56:35
243,Mia,Martinez,F,24,Ethiopia,Gondar,5:55:47
244,Maya,Smirnov,F,26,United Arab Emirates,Dubai,3:12:48
245,Robert,Melo,M,46,Israel,Haifa,4:00:34
246,Anna,Smirnov,F,52,Singapore,Singapore,4:07:23
247,Jack,Williams,M,31,Hungary,Szeged,5:24:57
248,Benjamin,Perez,M,31,South Africa,Cape Town,3:03:14
249,George,Wiśniewski,M,43,Australia,Perth,2:46:27
250,Sara,Lopez,F,31,Sweden,Stockholm,2:44:57
251,David,Melo,M,52,Portugal,Braga,2:19:13
252,Mateo,Lewis,M,56,Austria,Graz,2:13:38
253,Giulia,Silva,F,41,Finland,Tampere,2:56:27
254,Chiara,Taylor,F,65,Norway,Trondheim,5:08:33
255,Elijah,Murphy,M,65,South Africa,Cape Town,4:01:58
256,Sara,Martin,F,23,Australia,Sydney,3:02:26
257,Noah,Sanchez,M,41,Ethiopia,Addis Ababa,3:21:04
258,Yuki,Novak,F,51,Austria,Graz,2:25:21
259,Sophia,Costa,F,59,Israel,Haifa,4:30:58
260,Zuzanna,Gonzalez,F,30,Germany,Frankfurt,3:35:08
261,Lorenzo,Brown,M,63,Portugal,Lisbon,3:58:56
262,Giulia,Murphy,F,20,Czech Republic,Brno,5:50:59
263,Chiara,Nowak,F,54,Sweden,Malmo,5:18:21
264,Lucia,Rodriguez,F,29,Switzerland,Bern,5:26:01
265,Lucia,Gonzalez,F,63,Kenya,Kisumu,5:53:49
266,Isabela,Santos,F,44,Poland,Poznan,5:58:50
267,Mateo,Ramirez,M,26,United Arab Emirates,Sharjah,2:50:15
268,Maria,Torres,F,59,United States,Boston,4:53:23
269,Lucia,Novak,F,61,Ethiopia,Bahir Dar,5:12:37
270,James,Williams,M,19,Poland,Krakow,2:27:21
271,Lucas,Silva,M,36,United Kingdom,Glasgow,5:52:18
272,Julia,Novak,F,20,Romania,Cluj-Napoca,3:36:10
273,Giulia,Taylor,F,69,Spain,Valencia,3:04:00
274,David,Murphy,M,23,South Africa,Cape Town,3:28:35
275,Lorenzo,Rossi,M,23,Poland,Wroclaw,5:42:51
276,Jakub,Thompson,M,53,Germany,Frankfurt,5:46:08
277,Valentina,Scott,F,24,South Korea,Daegu,3:28:02
278,William,Allen,M,42,India,Mumbai,4:50:15
279,Mateusz,Thompson,M,24,Ukraine,Lviv,2:59:50
280,Thomas,Davis,M,18,Japan,Osaka,5:26:08
281,Ekaterina,Nowak,F,61,Spain,Bilbao,4:36:20
282,Magdalena,Lopez,F,44,Finland,Helsinki,4:30:46
283,Arthur,Ivanov,M,70,United Arab Emirates,Ajman,3:24:41
284,Lucia,Smirnov,F,29,Mexico,Monterrey,3:52:07
285,Harry,Walker,M,44,South Africa,Johannesburg,5:17:10
286,Maria,Silva,F,28,United Kingdom,London,3:18:33
287,Henry,Harris,M,61,Brazil,Brasilia,4:55:21
288,Lucas,Nowak,M,59,Germany,Hamburg,3:23:25
289,Olga,Davis,F,50,Ukraine,Lviv,4:24:59
290,Liam,Murphy,M,40,Romania,Bucharest,3:35:55
291,David,Clark,M,29,Brazil,Salvador,2:13:57
292,Oleg,Harris,M,47,France,Bordeaux,2:05:40
293,Thomas,Thomas,M,34,Israel,Nazareth,5:11:29
294,Mateusz,Anderson,M,46,Australia,Melbourne,5:49:43
295,Jakub,Bianchi,M,50,Austria,Innsbruck,3:34:04
296,Daniel,Lee,M,34,South Korea,Busan,5:54:06
297,Olivia,Kowalczyk,F,70,China,Shanghai,5:52:09
298,William,Sanchez,M,64,Austria,Vienna,3:48:45
299,Yuki,Wilson,F,35,Denmark,Esbjerg,2:38:01
300,Luis,Kaczmarek,M,30,Poland,Warsaw,3:24:27
301,Kacper,King,M,42,United Kingdom,Birmingham,4:53:47
302,Ingrid,Walker,F,21,China,Guangzhou,2:58:00
303,Lucas,Ramirez,M,26,Israel,Haifa,5:06:49
304,María,Melo,F,23,Mexico,Puebla,3:20:01
305,Emily,Jackson,F,26,Portugal,Lisbon,4:51:34
306,Hannah,Garcia,F,27,France,Paris,3:06:09
307,David,Rossi,M,30,United Kingdom,Birmingham,4:04:45
308,Mia,Robinson,F,51,Turkey,Ankara,3:52:37
309,Sunita,Allen,F,36,Australia,Sydney,3:00:06
310,Hugo,Ferrari,M,57,Ukraine,Lviv,4:55:16
311,Olga,Rossi,F,30,Austria,Graz,2:47:57
312,Oliver,Thompson,M,50,Hungary,Debrecen,2:16:12
313,Arthur,Johnson,M,70,Sweden,Malmo,5:54:52
314,Sunita,Santos,F,36,Poland,Gdansk,3:57:08
315,Daria,Scott,F,35,Romania,Bucharest,4:45:01
316,John,Brown,M,53,Sweden,Gothenburg,3:18:31
317,Katarzyna,White,F,24,Kenya,Nairobi,2:20:57
318,Ava,King,F,45,United Kingdom,Manchester,3:24:28
319,Arthur,Lopez,M,29,Israel,Tel Aviv,2:59:32
320,David,Lopez,M,44,China,Shanghai,3:57:24
321,Ekaterina,Young,F,41,Czech Republic,Brno,4:07:00
322,Ava,Walker,F,34,France,Lyon,3:46:58
323,Anna,Wilson,F,20,Denmark,Aalborg,5:51:56
324,Michael,Popov,M,53,United Arab Emirates,Ras Al Khaimah,2:46:51
325,Thomas,Nguyen,M,33,South Korea,Daejeon,4:10:50
326,Anna,Murphy,F,51,Norway,Bergen,2:45:35
327,Mateusz,Santos,M,23,Israel,Tel Aviv,5:31:18
328,Ekaterina,Wilson,F,56,Russia,Yekaterinburg,3:03:15
329,Noah,Robinson,M,42,Austria,Vienna,3:11:22
330,Ingrid,Ramirez,F,63,Switzerland,Geneva,2:50:03
331,Henry,Nowak,M,55,Turkey,Antalya,2:25:34
332,David,Johnson,M,57,Slovakia,Kosice,2:05:53
333,Maya,Novak,F,28,Slovakia,Bratislava,4:17:21
334,Lorenzo,Williams,M,45,Singapore,Singapore,5:42:56
335,Hannah,Martin,F,53,United States,Chicago,2:32:24
336,Mateusz,Hernandez,M,57,Czech Republic,Brno,2:11:49
337,Maya,Gonzalez,F,62,Israel,Haifa,5:56:52
338,Hannah,Taylor,F,58,Portugal,Porto,3:35:31
339,Megan,Murphy,F,61,Kenya,Kisumu,5:07:08
340,Carlos,Ivanov,M,48,South Korea,Daejeon,5:46:23
341,Ivan,Scott,M,34,Russia,Novosibirsk,4:02:48
342,Lucia,Lee,F,20,Turkey,Bursa,5:33:36
343,Camila,Robinson,F,64,Kenya,Mombasa,5:26:17
344,Valentina,Kowalczyk,F,41,Russia,Saint Petersburg,5:05:22
345,Sophia,Wilson,F,44,Finland,Tampere,4:46:39
346,Olivia,Smirnov,F,55,Portugal,Braga,2:43:31
347,Alina,Lewis,F,44,Austria,Salzburg,5:29:12
348,Lucia,Garcia,F,35,Hungary,Pecs,5:08:02
349,Pedro,Clark,M,63,United Arab Emirates,Abu Dhabi,3:22:35
350,Anna,Novak,F,41,Romania,Timisoara,2:26:09
351,Camila,Wright,F,40,Portugal,Braga,4:39:07
352,Jan,Nowak,M,42,Japan,Osaka,4:23:24
353,Lucia,Santos,F,54,Turkey,Izmir,5:22:50
354,Noah,Scott,M,38,Czech Republic,Ostrava,4:28:36
355,Robert,Perez,M,58,Russia,Saint Petersburg,2:33:38
356,Maya,Thomas,F,50,Ukraine,Dnipro,4:08:24
357,Emily,Taylor,F,48,Italy,Turin,4:05:04
358,Benjamin,Harris,M,31,Ethiopia,Gondar,5:51:32
359,Yuki,Romano,F,25,Australia,Perth,4:20:33
360,Alexander,Ivanov,M,55,Austria,Vienna,4:47:31
361,Nikolai,Jackson,M,35,Italy,Milan,4:38:46
362,Charlotte,Jackson,F,56,Ukraine,Lviv,2:34:00
363,Mia,Davis,F,27,Portugal,Lisbon,5:16:23
364,Daniel,Wright,M,28,Argentina,Cordoba,3:36:17
365,Daria,Williams,F,49,India,Delhi,3:48:23
366,Ivan,Anderson,M,33,Israel,Haifa,3:01:02
367,Julia,Ivanov,F,26,Turkey,Izmir,5:46:58
368,Ingrid,Brown,F,60,South Korea,Busan,2:45:55
369,Julia,Robinson,F,25,China,Chengdu,2:28:17
370,William,Popov,M,62,Singapore,Singapore,2:54:52
371,Olga,Martinez,F,53,Italy,Turin,4:18:57
372,Chiara,Santos,F,42,Argentina,La Plata,3:48:50
373,Mia,Williams,F,58,Turkey,Bursa,2:21:40
374,Benjamin,Allen,M,42,Netherlands,Utrecht,5:16:48
375,Julia,Thompson,F,54,India,Chennai,4:32:16
376,Henry,Jones,M,45,Kenya,Nairobi,3:15:45
377,Daniel,Santos,M,24,Switzerland,Lausanne,3:14:20
378,Sunita,White,F,22,Ukraine,Odesa,2:52:39
379,Sofia,Clark,F,36,Finland,Vantaa,2:36:19
380,Oliver,Lopez,M,32,Finland,Espoo,4:40:13
381,Henry,Perez,M,59,Austria,Vienna,5:32:17
382,Camila,Novak,F,62,Ukraine,Odesa,5:48:07
383,Pedro,Ramirez,M,29,Austria,Salzburg,4:02:01
384,Ivan,Miller,M,44,China,Beijing,5:45:11
385,Luis,Walker,M,18,South Africa,Port Elizabeth,2:57:36
386,Oliver,Sanchez,M,63,Poland,Gdansk,3:50:55
387,Yuki,Popov,F,63,United Arab Emirates,Dubai,3:10:40
388,Robert,Miller,M,66,Denmark,Esbjerg,4:21:30
389,Isabella,Wilson,F,58,Israel,Tel Aviv,5:13:44
390,Zuzanna,Gonzalez,F,44,Sweden,Stockholm,5:24:42
391,John,Novak,M,32,Netherlands,The Hague,4:13:35
392,Maya,Lopez,F,67,South Africa,Cape Town,4:23:43
393,Giovanni,Perez,M,30,Czech Republic,Ostrava,4:31:32
394,David,Rossi,M,60,Singapore,Singapore,3:56:21
395,Julia,Ferrari,F,69,Russia,Kazan,2:17:17
396,Hugo,Rodriguez,M,50,Ethiopia,Bahir Dar,5:41:46
397,Emily,White,F,44,Japan,Tokyo,4:12:01
398,Henry,Murphy,M,32,Netherlands,Utrecht,5:00:10
399,Jakub,Young,M,21,Switzerland,Bern,3:04:36
400,Olivia,Moore,F,45,Israel,Tel Aviv,5:39:51
401,Thomas,Santos,M,50,Israel,Nazareth,3:12:47
402,Kacper,Davis,M,55,Japan,Osaka,4:55:17
403,Abigail,White,F,37,Mexico,Cancun,2:36:33
404,Olivia,Murphy,F,46,Spain,Madrid,3:13:42
405,Jan,Smith,M,36,Norway,Trondheim,4:06:09
406,Mateo,Smirnov,M,60,South Africa,Johannesburg,5:02:29
407,Mateo,Petrov,M,69,Netherlands,Eindhoven,3:52:41
408,María,Hernandez,F,43,Portugal,Braga,2:41:55
409,Michael,Wright,M,43,Germany,Hamburg,5:26:50
410,Jan,Scott,M,68,United Kingdom,Birmingham,5:13:45
411,Hugo,Lopez,M,22,Australia,Adelaide,5:50:02
412,Emily,Johnson,F,40,Spain,Valencia,4:53:37
413,Luis,Murphy,M,40,Norway,Bergen,4:45:08
414,Isabella,Costa,F,43,South Korea,Daejeon,5:40:08
415,Maria,Popov,F,60,Ethiopia,Addis Ababa,5:20:11
416,Henry,Jones,M,20,Switzerland,Zurich,4:46:18
417,Nikolai,Perez,M,58,Norway,Stavanger,4:47:42
418,Arthur,Perez,M,59,Singapore,Singapore,2:43:57
419,Arthur,Anderson,M,62,Denmark,Esbjerg,5:50:19
420,Mateo,Kaczmarek,M,57,United States,New York,5:12:18
421,Jakub,Young,M,58,China,Chengdu,4:22:49
422,Sunita,Walker,F,56,France,Marseille,3:18:08
423,Magdalena,White,F,36,Hungary,Budapest,3:45:24
424,Arthur,Martin,M,33,South Korea,Busan,3:20:27
425,Chiara,Scott,F,52,Israel,Jerusalem,3:13:10
426,Ekaterina,White,F,47,Denmark,Odense,2:43:26
427,Elijah,White,M,46,Austria,Salzburg,4:58:09
428,Megan,Ramirez,F,37,United Kingdom,Glasgow,5:22:46
429,Lucas,Hernandez,M,19,Israel,Beer Sheva,5:54:23
430,Emily,Wiśniewski,F,38,United Arab Emirates,Abu Dhabi,4:02:22
431,Ivan,Thomas,M,32,Denmark,Aalborg,2:24:47
432,Santiago,Lopez,M,64,Hungary,Miskolc,4:46:20
433,Lucia,Gonzalez,F,38,Austria,Vienna,4:24:59
434,Lorenzo,Thomas,M,61,Australia,Brisbane,3:33:42
435,Abigail,Lopez,F,35,Turkey,Ankara,3:22:48
436,Alina,Williams,F,66,Switzerland,Geneva,2:25:50
